id,j,branch,wavenumber,intensity,pressure,temperature,model,npoints,rms,amplitude,amplitude_std,center,center_std,sigma,sigma_std,gamma,gamma_std,fwhm,fwhm_std,height,height_std
12,2,R35,5723.29086,3.81703,301.0,315.0,Voigt,172,0.0360363146380185,0.645251322077824,0.001382587069163,5723.287638605423,0.000111425519288,0.008433155145741,0.0004776506480873,0.0534752009751696,0.0001676557362128,0.1107658961452339,0.0003242027058524,3.751689355703916,0.0075373085168034
14,4,R35,5753.94859,3.80768,301.0,315.0,Voigt,150,0.0480857376076231,0.5513598121144444,0.001718687918572,5753.947911295391,0.0001406818013371,0.0090393768480756,0.0004921352179738,0.0458228295527681,0.000212185088647,0.0966623977720161,0.0004035870136388,3.695702559747647,0.0106925583542724
15,5,R35,5767.38007,3.17453,301.0,315.0,Voigt,135,0.0321149946822743,0.4171828006829919,0.0010908784983058,5767.37992663172,0.0001062938489059,0.0069523879906474,0.0004303409782361,0.0416806045522476,0.0001599436107589,0.0866742672824145,0.0003081758695114,3.103864720115447,0.0075937632931689
16,6,R35,5779.53092,2.43581,301.0,315.0,Voigt,119,0.0255451427471859,0.2814454327501596,0.0008142452008161,5779.530955790656,0.0001033776502564,0.0068864739271483,0.0003749242181994,0.0363688731943809,0.0001557754404501,0.0764215854966528,0.0002973224889382,2.3830898662872686,0.0064143719799427
17,7,R35,5790.39174,1.66901,301.0,315.0,Voigt,109,0.015523671372095,0.1735400647015312,0.0004660230818774,5790.392259612469,8.587081336383175e-05,0.0058662028442171,0.0003248175878109,0.0325205475190011,0.0001288152437452,0.0680442586670536,0.000246809934814,1.64800720815975,0.0041406070452423
18,8,R35,5799.95121,1.01755,301.0,315.0,Voigt,108,0.017775480042797,0.0977982142412298,0.0005081387544125,5799.951647397861,0.0001546259083744,0.0075337347771116,0.0004251354387193,0.0291980238148512,0.0002315602089112,0.063673888255981,0.0004280726113217,1.0060647374308505,0.004816266103815
19,9,R35,5808.20181,0.54931,301.0,315.0,Voigt,173,0.0311215103567397,0.0551103837833588,0.0009041808924664,5808.201774378964,0.0005542473868804,0.0143864402073681,0.0008827939650817,0.0288393249852702,0.0008268341582597,0.0740583172125257,0.0013620246743228,0.5129144848456497,0.0073970632377129
20,3,R35,5739.2478,3.84862,301.0,315.0,Voigt,168,0.0182560581250465,0.6466774851250847,0.0006910516188093,5739.247074991578,5.414611163732719e-05,0.0053601093973956,0.0003123271232618,0.0528948520267932,8.11350474933536e-05,0.1073821870797006,0.0001599048891445,3.852776793593089,0.0039014938288126
21,1,P37,5643.06735,0.55589,301.0,315.0,Voigt,257,0.0288468581630222,0.1070990431154895,0.0011986781350262,5643.066931773482,0.0007360466186775,0.023776315142616,0.0013621194141782,0.0600436665638917,0.0011071526591025,0.1433080428589395,0.0019118245021738,0.5038228158876077,0.0050316268316462
22,2,P37,5621.02746,0.83476,301.0,315.0,Voigt,242,0.0246853793782987,0.1607064587198009,0.0009982871153572,5621.026259599144,0.0003852587931529,0.0159545437158556,0.0010095187124181,0.0601794720957865,0.0005723956438465,0.1317917535299643,0.0010544867559639,0.7998322331271562,0.004600513635781
23,3,P37,5597.79921,0.92806,301.0,315.0,Voigt,236,0.0267113714355534,0.1775592452400953,0.0010820030183169,5597.799106377699,0.0003765233003647,0.0152150970191542,0.0010246686957583,0.0604085533274885,0.0005600286980552,0.1312622325162593,0.0010383997178284,0.8850100530163715,0.0050040015812602
24,4,P37,5573.40146,0.8784,301.0,315.0,Voigt,177,0.0207008912222688,0.1629762939400378,0.0008487155019572,5573.401281494877,0.0002980373491593,0.0144644774694748,0.0008478131348175,0.0577946680411326,0.0004579743457897,0.1254660166773241,0.0008498292297175,0.8495936954773359,0.0039941532005199
25,5,P37,5547.84926,0.76051,301.0,315.0,Voigt,242,0.0248550607114937,0.1349889735921462,0.0009581900165179,5547.849780123183,0.0004078323017417,0.013571774827036,0.0011169728147135,0.0559199470831028,0.0006006220592284,0.1208685215032125,0.0011186107916377,0.7294222057262548,0.0048496394254297
26,6,P37,5521.15957,0.62424,301.0,315.0,Voigt,263,0.036036017621047,0.1001913739215734,0.0013591341293278,5521.156980663814,0.0007669704146988,0.0223387825598382,0.0012596033467904,0.0495718890224686,0.0011428448211292,0.1229749817498317,0.0019234050441145,0.5558008666631343,0.0067015041060146
27,7,P37,5493.33427,0.44243,301.0,315.0,Voigt,70,0.0083435839800346,0.0628332602114205,0.0004052559888832,5493.336509057631,0.0002179389483726,0.0117152932090254,0.0006081979870172,0.0429192093892085,0.0004224977841442,0.0944382824453262,0.0007753385235557,0.4370838388947003,0.0019844906539989
28,1,P35,5647.0919,1.62856,301.0,315.0,Voigt,190,0.0263874026651954,0.2786642784738546,0.0010123924967825,5647.09137305319,0.0001952451865385,0.0093382344085,0.0007745034912278,0.0545762938203767,0.0002911229667374,0.1137080130913527,0.0005599492054875,1.581361871078451,0.0054077482651297
29,2,P35,5625.01434,2.48956,301.0,315.0,Voigt,183,0.0247570404293892,0.4418206114533058,0.0009696155955705,5625.016311907325,0.0001198275255395,0.0087415300610662,0.0005112219694667,0.0560671821019938,0.0001798906098851,0.1160476313464423,0.0003481034212174,2.451353637656446,0.0050549287126355
30,3,P35,5601.75596,2.71165,301.0,315.0,Voigt,188,0.0239580516761614,0.4988597542655175,0.00095391406027,5601.752988034603,0.0001077242991693,0.0086496739309562,0.0004856104065547,0.0579902386737627,0.0001617522964579,0.1196959213093056,0.0003138103575404,2.681006104948892,0.0048223317729271
32,5,P35,5551.72127,2.27735,301.0,315.0,Voigt,164,0.0223815006068327,0.3631225635748971,0.0008332125340321,5551.722390530858,0.0001127194514121,0.0086246320133929,0.0004449396170297,0.0502555581908042,0.0001695529239939,0.1047299597523046,0.0003260516652894,2.237465246487699,0.0048011007558102
33,6,P35,5524.98449,1.78998,301.0,315.0,Voigt,151,0.0215045407903595,0.2539835483666432,0.0007529890429704,5524.984381243739,0.0001304199843199,0.0080167674773401,0.0004860727166756,0.0447211074254438,0.0001954256105495,0.0935230828191224,0.0003746126821395,1.7545370459236158,0.0048712092707298
34,7,P35,5497.11776,1.26832,301.0,315.0,Voigt,141,0.0238824313767747,0.1590765003866285,0.0007827845819037,5497.116631800628,0.0001931300208382,0.0087562478353437,0.0005802962237822,0.0390799164035259,0.0002886992855789,0.0835975523601741,0.0005424550780642,1.2385914228484414,0.0056631568417491
