wavenumber,intensity,j,branch,pressure,temperature,fwhm,gamma,sigma,mean_wv,std_wv,skew_wv,kurtosis_wv,max_wv,min_wv,median_wv,mean_int,std_int,skew_int,kurtosis_int,max_int,min_int,median_int
5767.38195,2.83645,5,R35,181,315,0.0526966106670745,0.0242527491805703,0.0061066539798215,5767.381012142858,0.02310377727912299,9.456184169805489e-05,-1.2000823981910567,5767.41962,5767.34241,5767.38101,1.794584523809524,0.6551479002455165,0.1970736164497736,-1.3590760476273658,2.83645,0.86527,1.717585
5779.53281,2.06531,6,R35,181,315,0.0478498700908108,0.0234485201739443,0.0027682895378204,5779.532806666666,0.02147340403147934,-1.2939471702090367e-06,-1.1999745776200776,5779.56859,5779.49702,5779.53281,1.3339046153846152,0.48485449495507166,0.09521901096986428,-1.41575864232937,2.06531,0.61997,1.29148
5790.39362,1.33452,7,R35,181,315,0.0470496928869623,0.0200293781631109,0.0074714109813318,5790.393620000002,0.02038597189247248,-2.4124375929340866e-10,-1.1999761951748802,5790.42752,5790.35972,5790.39362,0.884923243243243,0.31581422352964666,-0.022269984521258557,-1.437751973153274,1.33452,0.40127,0.89027
5799.95309,0.7892,8,R35,181,315,0.046279384563074,0.019290907232391,0.0077805578157981,5799.953094571429,0.019297161227125565,6.65077975974993e-05,-1.199906813392841,5799.98511,5799.92108,5799.95309,0.5409208571428572,0.18439803329899648,-0.14340546176234664,-1.4122646562564776,0.7892,0.24089,0.5527
5808.2037,0.42189,9,R35,181,315,0.06108689972702,0.0201708271953016,0.0147679782368101,5808.202755,0.019841931141618634,0.0,-1.2000601498212666,5808.23571,5808.1698,5808.202755,0.2915602777777778,0.09833626465162748,-0.17905098385197823,-1.400187906578835,0.42189,0.12683,0.299245
5643.06735,0.47536,1,P37,181,315,0.1035091070612481,0.0412420847090168,0.0192567676164019,5643.0664131818185,0.036151669188341846,2.5581166990264777e-05,-1.1999568241452072,5643.12762,5643.00521,5643.066409999999,0.29527606060606065,0.11459800075956203,0.23966537032227597,-1.437439931137085,0.47536,0.14279,0.277085
5597.79921,0.82173,3,P37,181,315,0.0805638009243584,0.0352158111117227,0.0117601392780057,5597.799213050846,0.03234674690534432,-3.584961516195172e-05,-1.2000521286534616,5597.85383,5597.7446,5597.79921,0.5363549152542372,0.19263963609389748,0.07820116080967171,-1.453258772000234,0.82173,0.25605,0.51902
5573.40334,0.78646,4,P37,181,315,0.0790601898726491,0.0341484864227649,0.0120117779250004,5573.403344067797,0.032346375489511775,6.17168832544006e-05,-1.2000134764192496,5573.45796,5573.34873,5573.40334,0.5064964406779662,0.1875043467244455,0.10502954774754805,-1.456861341002465,0.78646,0.23794,0.4937
5547.85115,0.6762,5,P37,181,315,0.0747856086941486,0.0330773720868256,0.0104534836475977,5547.849264363636,0.03017115698705813,5.6281797650461915e-05,-1.2000098279409905,5547.90011,5547.79842,5547.84926,0.43349836363636357,0.1618347047403116,0.12098281229164175,-1.4632371902633066,0.6762,0.20312,0.41531
5521.15769,0.53869,6,P37,181,315,0.0798959804510731,0.02918021181245,0.0171641313773147,5521.1567484,0.02745402564143262,1.4866699909297157e-05,-1.2000083858691741,5521.20289,5521.11061,5521.15675,0.35138320000000006,0.12959438793971514,0.046915028306945286,-1.4895366748928514,0.53869,0.16347,0.34641
5493.33615,0.38537,7,P37,181,315,0.06273710093306,0.029212611470195,0.0067556636904548,5493.33803754717,0.029083934959171123,4.943795984959491e-05,-1.2000027800694628,5493.387,5493.28907,5493.33804,0.2454241509433962,0.09362510393203562,0.13103897621641786,-1.4835829216364338,0.38537,0.11589,0.23707
5647.0919,1.39494,1,P35,181,315,0.0701984116458511,0.0336738407059959,0.0058043754483156,5647.090959285714,0.030715115015010026,5.9263303056501164e-05,-1.1999852903721804,5647.14275,5647.03917,5647.0909599999995,0.899600892857143,0.32750517245756755,0.11130660599070302,-1.4281633961559606,1.39494,0.42259,0.873415
5625.01622,2.24592,2,P35,181,315,0.0695357332136916,0.0333336606316844,0.0057949427285359,5625.015277857143,0.03071541601177391,-4.984493820895256e-05,-1.2000495318421642,5625.06707,5624.96349,5625.01528,1.4325353571428572,0.5227896435225314,0.1515307580882945,-1.3894401024269105,2.24592,0.67384,1.380915
5601.7522,2.49765,3,P35,181,315,0.0702688213200009,0.0339963483449139,0.0051874832074101,5601.753136785714,0.030714747130562974,6.232196413066153e-06,-1.1999431450705227,5601.80493,5601.70135,5601.75314,1.6091785714285716,0.5757836121398655,0.1274734995429619,-1.3906849227871376,2.49765,0.75524,1.559885
5577.31678,2.4152,4,P35,181,315,0.0672768975784863,0.0318963581223152,0.0062846415628545,5577.316777358491,0.02908409684080355,5.505510316728785e-05,-1.200029180603509,5577.36574,5577.26781,5577.31678,1.550166037735849,0.5558219987803913,0.15007210475697558,-1.3878179685797465,2.4152,0.74572,1.50816
5551.72315,2.02349,5,P35,181,315,0.0633316945657655,0.030108234723994,0.005765141186242,5551.7240907999985,0.02745301766542662,-7.040119085957942e-05,-1.199995182626195,5551.77023,5551.67795,5551.72409,1.3091184,0.4703115790377477,0.10768373039492775,-1.4115960764970819,2.02349,0.60893,1.27305
5524.98449,1.55782,6,P35,181,315,0.0575166749078358,0.0276785849178318,0.0045723255440284,5524.985435,0.025279346312789282,4.594201074046189e-11,-1.1999844208573256,5525.02781,5524.94306,5524.9854350000005,1.0125665217391302,0.3669480330462636,0.07225244239877027,-1.4319503360316368,1.55782,0.46762,0.9914
5497.11776,1.0743,7,P35,181,315,0.05321429565349,0.0241335453682446,0.0066704960137344,5497.1168175,0.022016016401896148,-9.149732892712738e-05,-1.1999932997670393,5497.15354,5497.08009,5497.11682,0.7260325,0.2486485428992043,-0.050251046150988785,-1.4392475748592204,1.0743,0.34194,0.72827
5468.13048,0.66123,8,P35,181,315,0.0540891195746694,0.0224051016548759,0.0092369172519386,5468.128596666666,0.02147340403156332,-1.2939851173513348e-06,-1.1999745776207655,5468.16438,5468.09281,5468.1286,0.44896205128205124,0.15496986226834877,-0.10044730169315237,-1.4338796637100892,0.66123,0.19913,0.45507
